,Learner,Mean,Bias,Variance,Mean_SD_Err,RMSE,CI_Width,Coverage,Sample_Size
0,OLS_sklearn,1.2735,0.2735,0.2469,0.4865,0.5668,1.9072,0.896,50
1,OLS_Strict,1.3928,0.3928,0.2611,0.4665,0.6441,1.8289,0.836,50
2,OLS_Safe,1.3928,0.3928,0.2611,0.4665,0.6441,1.8289,0.836,50
3,Lasso,1.3714,0.3714,0.225,0.5074,0.6021,1.9892,0.88,50
4,Ridge,1.3294,0.3294,0.229,0.4947,0.5806,1.9393,0.888,50
5,ElasticNet,1.376,0.376,0.2202,0.5068,0.6009,1.9866,0.884,50
6,FusedLasso,1.308,0.308,0.2418,0.4894,0.5798,1.9185,0.88,50
7,RF,1.4276,0.4276,0.2169,0.5299,0.632,2.0773,0.884,50
8,ExtraTrees,1.3661,0.3661,0.2212,0.5056,0.5956,1.9821,0.888,50
9,HonestForest,1.5921,0.5921,0.2298,0.62,0.7615,2.4305,0.876,50
10,GB,1.3861,0.3861,0.2222,0.5158,0.609,2.0219,0.88,50
11,CatBoost,1.3967,0.3967,0.2184,0.518,0.6126,2.0306,0.884,50
12,XGBoost,1.3907,0.3907,0.2179,0.5163,0.6083,2.0237,0.886,50
13,KRR_RBF,1.4409,0.4409,0.2433,0.4725,0.6612,1.8524,0.826,50
14,SVR_RBF,1.3326,0.3326,0.2314,0.4981,0.5844,1.9526,0.884,50
15,NeuralNet,1.3476,0.3476,0.2376,0.5084,0.5983,1.9929,0.89,50
0,OLS_sklearn,1.4174,0.4174,0.1449,0.3786,0.5646,1.484,0.812,100
1,OLS_Strict,1.5018,0.5018,0.1334,0.3536,0.6204,1.3863,0.708,100
2,OLS_Safe,1.5018,0.5018,0.1334,0.3536,0.6204,1.3863,0.708,100
3,Lasso,1.4315,0.4315,0.1444,0.378,0.5748,1.4816,0.794,100
4,Ridge,1.4249,0.4249,0.1437,0.3791,0.5691,1.4862,0.81,100
5,ElasticNet,1.4251,0.4251,0.1436,0.379,0.5693,1.4858,0.808,100
6,FusedLasso,1.4127,0.4127,0.1327,0.3689,0.5503,1.4462,0.802,100
7,RF,1.5591,0.5591,0.1306,0.3947,0.6655,1.5472,0.712,100
8,ExtraTrees,1.5517,0.5517,0.1275,0.3971,0.6569,1.5565,0.732,100
9,HonestForest,1.901,0.901,0.1447,0.505,0.9778,1.9795,0.602,100
10,GB,1.4253,0.4253,0.146,0.3806,0.5715,1.4919,0.812,100
11,CatBoost,1.4215,0.4215,0.1462,0.3788,0.5688,1.4849,0.806,100
12,XGBoost,1.4206,0.4206,0.1461,0.378,0.5681,1.4819,0.806,100
13,KRR_RBF,1.5026,0.5026,0.1333,0.3537,0.621,1.3865,0.708,100
14,SVR_RBF,1.4495,0.4495,0.1461,0.3832,0.5898,1.5023,0.788,100
15,NeuralNet,1.3958,0.3958,0.1542,0.3873,0.5573,1.5183,0.824,100
0,OLS_sklearn,1.3564,0.3564,0.0938,0.2932,0.4697,1.1493,0.748,150
1,OLS_Strict,1.4445,0.4445,0.0903,0.2793,0.5364,1.0947,0.634,150
2,OLS_Safe,1.4445,0.4445,0.0903,0.2793,0.5364,1.0947,0.634,150
3,Lasso,1.3558,0.3558,0.0956,0.2946,0.4712,1.1548,0.754,150
4,Ridge,1.4339,0.4339,0.0858,0.2999,0.5234,1.1756,0.704,150
5,ElasticNet,1.4512,0.4512,0.0849,0.3023,0.5369,1.1849,0.694,150
6,FusedLasso,1.4496,0.4496,0.0872,0.3025,0.5378,1.186,0.688,150
7,RF,1.4781,0.4781,0.0831,0.3072,0.5581,1.2044,0.674,150
8,ExtraTrees,1.4765,0.4765,0.0828,0.3077,0.5565,1.2061,0.666,150
9,HonestForest,1.7925,0.7925,0.0871,0.3907,0.8456,1.5316,0.48,150
10,GB,1.4113,0.4113,0.0885,0.2955,0.5074,1.1583,0.712,150
11,CatBoost,1.3801,0.3801,0.0934,0.2977,0.4875,1.1668,0.74,150
12,XGBoost,1.4073,0.4073,0.0881,0.2971,0.5038,1.1648,0.72,150
13,KRR_RBF,1.4804,0.4804,0.0827,0.3065,0.5597,1.2016,0.668,150
14,SVR_RBF,1.4841,0.4841,0.0834,0.3087,0.5635,1.2099,0.66,150
15,NeuralNet,1.4085,0.4085,0.0938,0.3061,0.5104,1.2,0.722,150
0,OLS_sklearn,1.2769,0.2769,0.061,0.2527,0.3709,0.9905,0.818,200
1,OLS_Strict,1.3759,0.3759,0.0613,0.2452,0.45,0.9611,0.648,200
2,OLS_Safe,1.3759,0.3759,0.0613,0.2452,0.45,0.9611,0.648,200
3,Lasso,1.2985,0.2985,0.0601,0.2535,0.3861,0.9937,0.782,200
4,Ridge,1.3447,0.3447,0.0554,0.259,0.4173,1.0154,0.738,200
5,ElasticNet,1.3309,0.3309,0.0564,0.2573,0.4072,1.0085,0.754,200
6,FusedLasso,1.2888,0.2888,0.0588,0.2512,0.377,0.9847,0.8,200
7,RF,1.3822,0.3822,0.0531,0.2653,0.4461,1.0398,0.716,200
8,ExtraTrees,1.3813,0.3813,0.0533,0.2653,0.4456,1.0399,0.712,200
9,HonestForest,1.6603,0.6603,0.0613,0.3424,0.7051,1.3424,0.52,200
10,GB,1.2899,0.2899,0.0618,0.2549,0.3817,0.9992,0.792,200
11,CatBoost,1.2893,0.2893,0.0615,0.2542,0.3809,0.9967,0.792,200
12,XGBoost,1.2924,0.2924,0.0602,0.2523,0.3815,0.989,0.782,200
13,KRR_RBF,1.3545,0.3545,0.0551,0.2563,0.425,1.0045,0.716,200
14,SVR_RBF,1.319,0.319,0.059,0.2572,0.4008,1.0083,0.766,200
15,NeuralNet,1.3094,0.3094,0.0612,0.2624,0.3961,1.0288,0.788,200
0,OLS_sklearn,1.4351,0.4351,0.0678,0.2424,0.507,0.9504,0.564,250
1,OLS_Strict,1.5157,0.5157,0.0643,0.2361,0.5745,0.9257,0.408,250
2,OLS_Safe,1.5157,0.5157,0.0643,0.2361,0.5745,0.9257,0.408,250
3,Lasso,1.4641,0.4641,0.0671,0.2447,0.5314,0.9593,0.518,250
4,Ridge,1.5296,0.5296,0.0625,0.2492,0.5855,0.9769,0.422,250
5,ElasticNet,1.4789,0.4789,0.0651,0.245,0.5426,0.9604,0.498,250
6,FusedLasso,1.4426,0.4426,0.0653,0.241,0.5109,0.9447,0.548,250
7,RF,1.5799,0.5799,0.0611,0.257,0.6303,1.0074,0.38,250
8,ExtraTrees,1.5803,0.5803,0.0615,0.2569,0.631,1.0072,0.374,250
9,HonestForest,1.9729,0.9729,0.0654,0.3332,1.0059,1.3062,0.116,250
10,GB,1.4704,0.4704,0.0683,0.2485,0.538,0.9741,0.518,250
11,CatBoost,1.4696,0.4696,0.0667,0.2464,0.5358,0.966,0.52,250
12,XGBoost,1.4668,0.4668,0.0673,0.2463,0.5339,0.9657,0.52,250
13,KRR_RBF,1.4876,0.4876,0.0645,0.2453,0.5497,0.9617,0.482,250
14,SVR_RBF,1.4797,0.4797,0.0665,0.2464,0.5445,0.9657,0.506,250
15,NeuralNet,1.449,0.449,0.0719,0.2509,0.5228,0.9835,0.566,250
0,OLS_sklearn,1.464,0.464,0.0509,0.2179,0.5158,0.8543,0.422,300
1,OLS_Strict,1.5354,0.5354,0.0491,0.2093,0.5794,0.8203,0.288,300
2,OLS_Safe,1.5354,0.5354,0.0491,0.2093,0.5794,0.8203,0.288,300
3,Lasso,1.4819,0.4819,0.0507,0.2198,0.5318,0.8617,0.396,300
4,Ridge,1.4946,0.4946,0.0496,0.2193,0.5424,0.8597,0.378,300
5,ElasticNet,1.5178,0.5178,0.0489,0.2207,0.5629,0.865,0.338,300
6,FusedLasso,1.4887,0.4887,0.05,0.2194,0.5374,0.8601,0.404,300
7,RF,1.6125,0.6125,0.0482,0.2328,0.6506,0.9126,0.266,300
8,ExtraTrees,1.6145,0.6145,0.0469,0.2309,0.6515,0.9053,0.244,300
9,HonestForest,2.0216,1.0216,0.0523,0.2973,1.0468,1.1654,0.036,300
10,GB,1.4807,0.4807,0.052,0.2231,0.5319,0.8746,0.414,300
11,CatBoost,1.528,0.528,0.0486,0.2221,0.5721,0.8708,0.334,300
12,XGBoost,1.4858,0.4858,0.0509,0.2217,0.5356,0.869,0.396,300
13,KRR_RBF,1.5184,0.5184,0.0487,0.2205,0.5633,0.8642,0.338,300
14,SVR_RBF,1.5491,0.5491,0.049,0.2232,0.5919,0.875,0.306,300
15,NeuralNet,1.4755,0.4755,0.0533,0.2258,0.5285,0.8851,0.438,300
0,OLS_sklearn,1.4841,0.4841,0.0494,0.2106,0.5325,0.8256,0.372,350
1,OLS_Strict,1.5538,0.5538,0.0462,0.2018,0.594,0.791,0.222,350
2,OLS_Safe,1.5538,0.5538,0.0462,0.2018,0.594,0.791,0.222,350
3,Lasso,1.5312,0.5312,0.0471,0.2121,0.5738,0.8316,0.298,350
4,Ridge,1.588,0.588,0.0453,0.2169,0.6252,0.8501,0.212,350
5,ElasticNet,1.5494,0.5494,0.0466,0.214,0.5902,0.8389,0.284,350
6,FusedLasso,1.5166,0.5166,0.0455,0.2105,0.5588,0.8252,0.312,350
7,RF,1.6451,0.6451,0.0444,0.2234,0.6785,0.8756,0.172,350
8,ExtraTrees,1.6453,0.6453,0.0441,0.2234,0.6785,0.8758,0.166,350
9,HonestForest,2.0735,1.0735,0.0487,0.2906,1.096,1.139,0.014,350
10,GB,1.5194,0.5194,0.0487,0.2145,0.5642,0.8407,0.332,350
11,CatBoost,1.5728,0.5728,0.0445,0.2149,0.6103,0.8424,0.24,350
12,XGBoost,1.5481,0.5481,0.045,0.2112,0.5877,0.8281,0.258,350
13,KRR_RBF,1.5878,0.5878,0.0449,0.2148,0.6248,0.8422,0.208,350
14,SVR_RBF,1.58,0.58,0.0454,0.2167,0.6179,0.8496,0.222,350
15,NeuralNet,1.7267,0.7267,0.0501,0.24,0.7603,0.9407,0.134,350
0,OLS_sklearn,1.5259,0.5259,0.0429,0.1972,0.5651,0.773,0.246,400
1,OLS_Strict,1.5919,0.5919,0.0384,0.1885,0.6234,0.7388,0.144,400
2,OLS_Safe,1.5919,0.5919,0.0384,0.1885,0.6234,0.7388,0.144,400
3,Lasso,1.5542,0.5542,0.0425,0.1991,0.5913,0.7804,0.218,400
4,Ridge,1.6358,0.6358,0.039,0.2028,0.6657,0.7948,0.104,400
5,ElasticNet,1.5941,0.5941,0.0404,0.2003,0.6271,0.785,0.162,400
6,FusedLasso,1.5843,0.5843,0.0418,0.2024,0.619,0.7934,0.18,400
7,RF,1.7029,0.7029,0.0377,0.2096,0.7292,0.8216,0.076,400
8,ExtraTrees,1.7033,0.7033,0.0376,0.2096,0.7295,0.8216,0.076,400
9,HonestForest,2.1478,1.1478,0.0406,0.2694,1.1653,1.056,0.002,400
10,GB,1.5326,0.5326,0.0445,0.2015,0.5728,0.7898,0.25,400
11,CatBoost,1.638,0.638,0.0394,0.2037,0.668,0.7985,0.108,400
12,XGBoost,1.5482,0.5482,0.0431,0.2005,0.5861,0.7859,0.224,400
13,KRR_RBF,1.6342,0.6342,0.0386,0.201,0.6639,0.7878,0.106,400
14,SVR_RBF,1.6263,0.6263,0.04,0.2027,0.6574,0.7947,0.116,400
15,NeuralNet,1.6422,0.6422,0.043,0.21,0.6748,0.8231,0.13,400
0,OLS_sklearn,1.5451,0.5451,0.0458,0.1934,0.5855,0.7581,0.236,450
1,OLS_Strict,1.6155,0.6155,0.0402,0.1843,0.6472,0.7223,0.1,450
2,OLS_Safe,1.6155,0.6155,0.0402,0.1843,0.6472,0.7223,0.1,450
3,Lasso,1.6043,0.6043,0.0445,0.1973,0.64,0.7732,0.172,450
4,Ridge,1.6584,0.6584,0.042,0.1994,0.6895,0.7815,0.088,450
5,ElasticNet,1.5851,0.5851,0.0449,0.1959,0.6222,0.768,0.194,450
6,FusedLasso,1.6042,0.6042,0.0444,0.1995,0.6398,0.7822,0.166,450
7,RF,1.7153,0.7153,0.0423,0.2092,0.7442,0.8199,0.064,450
8,ExtraTrees,1.7153,0.7153,0.0424,0.2091,0.7443,0.8198,0.06,450
9,HonestForest,2.1874,1.1874,0.0446,0.2688,1.2061,1.0536,0.0,450
10,GB,1.557,0.557,0.0475,0.1985,0.5981,0.7781,0.24,450
11,CatBoost,1.6818,0.6818,0.0415,0.2024,0.7115,0.7935,0.07,450
12,XGBoost,1.578,0.578,0.0457,0.1978,0.6163,0.7752,0.208,450
13,KRR_RBF,1.6564,0.6564,0.0416,0.1978,0.6872,0.7753,0.082,450
14,SVR_RBF,1.6522,0.6522,0.0424,0.1993,0.6839,0.7812,0.108,450
15,NeuralNet,1.6374,0.6374,0.047,0.2046,0.6732,0.802,0.15,450
0,OLS_sklearn,1.5118,0.5118,0.0321,0.1783,0.5422,0.699,0.19,500
1,OLS_Strict,1.5847,0.5847,0.029,0.1698,0.609,0.6657,0.064,500
2,OLS_Safe,1.5847,0.5847,0.029,0.1698,0.609,0.6657,0.064,500
3,Lasso,1.5454,0.5454,0.032,0.1808,0.5739,0.7089,0.148,500
4,Ridge,1.6203,0.6203,0.0298,0.1836,0.6438,0.7199,0.058,500
5,ElasticNet,1.5563,0.5563,0.031,0.1801,0.5835,0.7061,0.128,500
6,FusedLasso,1.5785,0.5785,0.032,0.1846,0.6055,0.7238,0.112,500
7,RF,1.6766,0.6766,0.0297,0.1904,0.6981,0.7462,0.026,500
8,ExtraTrees,1.6769,0.6769,0.0295,0.1903,0.6984,0.7458,0.024,500
9,HonestForest,2.1263,1.1263,0.0337,0.2466,1.1411,0.9668,0.0,500
10,GB,1.5307,0.5307,0.0333,0.1833,0.5611,0.7187,0.184,500
11,CatBoost,1.661,0.661,0.0296,0.1881,0.6829,0.7372,0.038,500
12,XGBoost,1.5541,0.5541,0.0321,0.1829,0.5822,0.7168,0.144,500
13,KRR_RBF,1.5715,0.5715,0.0306,0.1807,0.5977,0.7084,0.112,500
14,SVR_RBF,1.6132,0.6132,0.0302,0.1836,0.6373,0.7197,0.07,500
15,NeuralNet,1.6418,0.6418,0.0325,0.1914,0.6666,0.7503,0.062,500
